Name,Tag,Image URL,Origin,Length,Color,Stem Price,Quantity,First Quantity
Anthurium tropic night,Promo,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x4876E2F477321C11ECD423ECBF944F3A031BF865.jpg",NL,13 cm,Red,"€ 0,57",690,9x12
Anthurium tropic night,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x4876E2F477321C11ECD423ECBF944F3A031BF865.jpg",,,,,,
Anthurium tropic night,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x4876E2F477321C11ECD423ECBF944F3A031BF865.jpg",,,,,,
Anthurium acropolis,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xCF3500D5E3F67776023B185A40FBB207C0F100C5.jpg",NL,45 cm,White,"€ 1,31",690,1x12
Anthurium acropolis,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xCF3500D5E3F67776023B185A40FBB207C0F100C5.jpg",,,,,,
Anthurium acropolis,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xCF3500D5E3F67776023B185A40FBB207C0F100C5.jpg",,,,,,
Anthurium acropolis,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xF604A3217F8F657623416EBA575D2A14937A9304.jpg",BE,45 cm,White,"€ 1,31",690,1x12
Anthurium acropolis,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xF604A3217F8F657623416EBA575D2A14937A9304.jpg",,,,,,
Anthurium acropolis,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xF604A3217F8F657623416EBA575D2A14937A9304.jpg",,,,,,
Anthurium calisto,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x982666F4EB761907C39FE0DC17FDBFEAFD2906DB.jpg",NL,13 cm,Red,"€ 0,83",690,5x12
Anthurium calisto,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x982666F4EB761907C39FE0DC17FDBFEAFD2906DB.jpg",,,,,,
Anthurium calisto,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x982666F4EB761907C39FE0DC17FDBFEAFD2906DB.jpg",,,,,,
Anthurium calisto,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xDBD59B2B029D61F572DE8EF2F11AE8D78B88A5B9.jpg",NL,11 cm,Red,"€ 0,58",690,4x16
Anthurium calisto,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xDBD59B2B029D61F572DE8EF2F11AE8D78B88A5B9.jpg",,,,,,
Anthurium calisto,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xDBD59B2B029D61F572DE8EF2F11AE8D78B88A5B9.jpg",,,,,,
Anthurium calisto,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xF11702D6C51766BF7F0E01BD7731BC165CFA935D.jpg",NL,9 cm,Red,"€ 0,43",690,3x20
Anthurium calisto,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xF11702D6C51766BF7F0E01BD7731BC165CFA935D.jpg",,,,,,
Anthurium calisto,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xF11702D6C51766BF7F0E01BD7731BC165CFA935D.jpg",,,,,,
Anthurium calisto,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xDEBE7E8908992EE3101280862A54DA841644907C.jpg",NL,18 cm,Red,"€ 0,81",690,5x8
Anthurium calisto,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xDEBE7E8908992EE3101280862A54DA841644907C.jpg",,,,,,
Anthurium calisto,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xDEBE7E8908992EE3101280862A54DA841644907C.jpg",,,,,,
Anthurium candy,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xEBF669A0766E77DF41B0380BFDE32A02E19B0A83.jpg",NL,60 cm,Pink,"€ 1,03",690,2x16
Anthurium candy,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xEBF669A0766E77DF41B0380BFDE32A02E19B0A83.jpg",,,,,,
Anthurium candy,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xEBF669A0766E77DF41B0380BFDE32A02E19B0A83.jpg",,,,,,
Anthurium candy B1,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x87B29DF4D7568C4F5866A3EA45C86D45F1977278.jpg",NL,50 cm,Pink,"€ 0,60",690,11x12
Anthurium candy B1,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x87B29DF4D7568C4F5866A3EA45C86D45F1977278.jpg",,,,,,
Anthurium candy B1,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x87B29DF4D7568C4F5866A3EA45C86D45F1977278.jpg",,,,,,
